sourceIP,URL,urlInvoked,host,appName
192.168.0.1,'/purchases/purchase/itemNumber/1','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/2','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/3','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/4','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/5','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/6','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/7','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/8','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/9','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/10','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/11','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/12','GET','192.168.0.2','PurchaseService'






192.168.0.1,'/purchases/purchase/itemNumber/1','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchase/itemNumber/2','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchases/itemNumber/1','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/purchases/itemNumber/2','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchasess/purchase/itemNumber/1','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchasess/purchase/itemNumber/2','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases1/purchase/itemNumber/1','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases1/purchase/itemNumber/2','GET','192.168.0.2','PurchaseService'
192.168.0.1,'/purchases/3/itemNumber/2','GET','192.168.0.2','PurchaseService'
